clas_gt,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,joint_angles0,joint_angles1,joint_angles2,joint_angles3,joint_angles4,joint_angles5,joint_angles6,joint_angles7,joint_angles8,joint_angles9,joint_angles10,joint_angles11,joint_angles12,joint_angles13,joint_angles14
1,258,246,213,241,124,43,60,78,0.6905227304,0.1260381043,0.4753297567,0.3444064558,0.3343918025,0.5183194876,0.5092818737,0.5290669203,0.4868099689,0.6035661697,0.4982901812,0.505862236,0.464582324,0.4213483036,0.5229604244
1,250,229,243,190,103,44,72,82,0.6905227304,0.1260381043,0.4753297567,0.3444064558,0.3343918025,0.5183194876,0.5092818737,0.5290669203,0.4868099689,0.6035661697,0.4982901812,0.505862236,0.464582324,0.4213483036,0.5229604244
1,183,242,311,146,54,37,61,92,0.6905227304,0.1260381043,0.4753297567,0.3444064558,0.3343918025,0.5263800621,0.5092818737,0.5371274948,0.4948705435,0.6035661697,0.4982901812,0.505862236,0.464582324,0.4213483036,0.5229604244
1,94,193,346,147,45,44,72,94,0.6905227304,0.1260381043,0.4753297567,0.3444064558,0.3343918025,0.5263800621,0.5092818737,0.5371274948,0.4948705435,0.6035661697,0.4982901812,0.505862236,0.464582324,0.4213483036,0.5229604244
1,140,182,378,163,42,64,174,291,0.6905227304,0.1260381043,0.4753297567,0.3444064558,0.3343918025,0.5180752277,0.5092818737,0.5371274948,0.4948705435,0.6035661697,0.4982901812,0.505862236,0.464582324,0.4213483036,0.5229604244
1,166,223,395,228,95,58,155,278,0.6827064157,0.135319978,0.467513442,0.3444064558,0.3251099288,0.4789936543,0.5092818737,0.5371274948,0.4948705435,0.5874450207,0.4982901812,0.5144113302,0.4567660093,0.4213483036,0.5229604244
1,210,285,398,282,166,62,83,113,0.6827064157,0.1433805525,0.467513442,0.3365901411,0.3165608346,0.4789936543,0.498534441,0.5371274948,0.4870542288,0.5874450207,0.4982901812,0.5144113302,0.4467513561,0.4135319889,0.5229604244
1,204,270,392,307,180,63,71,100,0.6827064157,0.1433805525,0.467513442,0.3365901411,0.3087444901,0.4789936543,0.498534441,0.5371274948,0.4785051346,0.5874450207,0.4982901812,0.5144113302,0.4467513561,0.4135319889,0.5229604244
1,185,285,417,249,102,50,147,103,0.6827064157,0.1433805525,0.467513442,0.3365901411,0.3087444901,0.4978016615,0.498534441,0.5371274948,0.4785051346,0.5874450207,0.4982901812,0.5144113302,0.4389350414,0.4135319889,0.5229604244
1,189,340,515,266,94,61,150,109,0.6827064157,0.1433805525,0.467513442,0.3365901411,0.3087444901,0.4978016615,0.498534441,0.5371274948,0.4785051346,0.5874450207,0.4982901812,0.5144113302,0.4389350414,0.4135319889,0.5229604244
1,234,321,444,210,81,72,136,93,0.6827064157,0.1433805525,0.4767953157,0.3285295665,0.3009281754,0.5346848965,0.498534441,0.5371274948,0.4614069462,0.5874450207,0.4982901812,0.5144113302,0.4389350414,0.4135319889,0.5229604244
1,336,290,402,203,92,57,139,103,0.6827064157,0.1433805525,0.4855886698,0.3285295665,0.3009281754,0.5451880693,0.498534441,0.5371274948,0.4614069462,0.5874450207,0.4982901812,0.5144113302,0.4389350414,0.4135319889,0.5229604244
1,362,336,549,289,102,62,135,117,0.6827064157,0.1433805525,0.4855886698,0.3285295665,0.3009281754,0.5657058954,0.498534441,0.5371274948,0.4523693323,0.5874450207,0.5068392754,0.5144113302,0.4389350414,0.4135319889,0.5229604244
1,231,378,472,255,103,61,100,96,0.6827064157,0.1433805525,0.4934049845,0.3285295665,0.3009281754,0.5847581625,0.507327795,0.5449438095,0.4445530176,0.5874450207,0.5068392754,0.5144113302,0.4389350414,0.4135319889,0.5229604244
1,344,310,445,220,77,49,103,93,0.6827064157,0.1433805525,0.4934049845,0.3285295665,0.3009281754,0.5847581625,0.507327795,0.5449438095,0.4445530176,0.5874450207,0.5068392754,0.5144113302,0.4389350414,0.4135319889,0.5229604244
1,355,345,499,246,79,49,92,85,0.6827064157,0.1433805525,0.4934049845,0.3285295665,0.3009281754,0.5847581625,0.507327795,0.5449438095,0.4445530176,0.5874450207,0.5068392754,0.5144113302,0.4389350414,0.4135319889,0.5229604244
1,233,280,440,210,61,43,71,99,0.6827064157,0.1433805525,0.4934049845,0.3285295665,0.3009281754,0.5847581625,0.507327795,0.5449438095,0.4367366731,0.5874450207,0.5068392754,0.5144113302,0.4389350414,0.4135319889,0.5229604244
1,164,276,472,190,68,49,95,54,0.6827064157,0.1433805525,0.4934049845,0.3285295665,0.3009281754,0.5847581625,0.507327795,0.5449438095,0.4367366731,0.5874450207,0.5068392754,0.5144113302,0.4389350414,0.4135319889,0.5229604244
1,160,260,501,197,68,51,99,58,0.6827064157,0.1433805525,0.4934049845,0.3285295665,0.3009281754,0.5847581625,0.507327795,0.5449438095,0.4367366731,0.5874450207,0.5068392754,0.5144113302,0.4389350414,0.4135319889,0.5229604244
1,194,317,391,162,57,41,61,72,0.6827064157,0.1433805525,0.4934049845,0.3285295665,0.3009281754,0.5847581625,0.507327795,0.5449438095,0.4367366731,0.5952613354,0.5068392754,0.5144113302,0.4389350414,0.4135319889,0.5229604244
1,125,310,304,125,57,36,45,51,0.6827064157,0.1433805525,0.4934049845,0.3285295665,0.3009281754,0.5595993996,0.507327795,0.5449438095,0.4447972775,0.5952613354,0.5068392754,0.5144113302,0.4389350414,0.4135319889,0.5229604244
